id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
177,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,60,0.0,0.2,3.1,0.47,0.61,1.47,1.43,1.18,0.19,Noni Madueke,Chelsea,MID
178,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,47,0.0,0.2,0.5,0.0,0.03,1.85,2.54,0.0,0.0,Marc Guiu Paz,Chelsea,FWD
179,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,61,0.0,0.0,0.2,0.15,0.56,2.04,1.24,0.62,0.0,Mykhailo Mudryk,Chelsea,MID
180,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,77,0.0,0.2,6.2,0.56,0.65,1.24,0.99,1.14,0.41,Nicolas Jackson,Chelsea,FWD
181,false,75,0,0,0,1,0,0,0,0,0,0,0,6,10.4,4.3,7.0,2.2,1,0.10,0.02,0.12,0.71,0,0,0,0,0,0,0,2,false,57,2.5,3.0,2.7,0.52,0.62,1.65,1.68,0.84,0.21,Christopher Nkunku,Chelsea,MID
182,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,108,0.5,0.8,50.0,0.54,0.82,1.34,1.29,1.03,0.22,Cole Palmer,Chelsea,MID
183,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,44,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Đorđe Petrović,Chelsea,GKP
184,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,44,0.0,0.0,0.1,0.08,0.16,1.62,1.02,0.51,0.51,Renato Palma Veiga,Chelsea,MID
185,false,90,0,0,0,1,0,0,0,0,0,4,0,12,32.8,10.0,0.0,4.3,1,0.00,0.00,0.00,0.71,0,0,0,0,0,0,0,3,false,45,6.0,6.5,6.7,0.0,0.0,1.33,1.22,1.0,0.22,Robert Sánchez,Chelsea,GKP
186,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,67,0.0,0.5,0.8,0.31,0.42,0.66,0.59,1.19,0.3,Raheem Sterling,Arsenal,MID
187,false,4,0,0,0,0,0,0,0,0,0,0,0,3,1.4,3.8,0.0,0.5,0,0.00,0.01,0.01,0.00,0,0,0,0,0,0,0,1,false,42,4.0,4.5,0.5,0.07,0.08,1.34,0.99,0.91,0.33,Tosin Adarabioyo,Chelsea,DEF
188,false,82,0,0,0,2,0,0,0,0,0,0,0,14,6.0,17.0,4.0,2.7,1,0.01,0.02,0.03,0.36,0,0,0,0,0,0,0,2,false,44,1.5,1.5,0.3,0.03,0.07,2.48,2.47,0.88,0.0,Lesley Ugochukwu,Southampton,MID
189,false,85,0,0,0,1,0,0,0,1,0,0,0,4,5.0,11.3,0.0,1.6,1,0.00,0.01,0.01,0.71,0,0,0,0,0,0,0,1,false,43,3.5,4.0,0.3,0.03,0.04,1.13,1.0,1.08,0.15,Wesley Fofana,Chelsea,DEF
190,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Naouirou Ahamada,Crystal Palace,MID
191,false,90,0,0,1,0,0,0,0,0,0,0,0,28,29.0,3.7,7.0,4.0,1,0.06,0.02,0.08,0.95,0,0,0,0,0,0,0,6,false,42,3.0,2.5,3.7,0.02,0.04,1.12,1.5,1.01,0.19,Joachim Andersen,Fulham,DEF
192,false,1,0,0,0,0,0,0,0,0,0,0,0,3,4.6,5.0,2.0,1.2,0,0.00,0.01,0.01,0.00,0,0,0,0,0,0,0,1,false,51,0.3,-0.2,0.2,0.23,0.31,1.68,2.47,1.03,0.14,Jordan Ayew,Leicester,MID
193,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,0.0,0.0,0.08,0.1,1.53,1.22,0.81,0.2,Cheick Doucouré,Crystal Palace,MID
